Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,,,,,
walmart,0,2021-06-17,se,florida,orlando,wa,103,218,2245,1257,on,,,,,
westgear,0,2021-07-16,s,louisiana,neworleans,wa,103,163,1679,806,on,,,,,
sportsdirect,1,2021-08-25,s,alabama,birmingham,msf,10,700,7000,3150,out,,,,,
sportsdirect,1,2021-08-27,s,alabama,birmingham,wsf,15,575,8625,3881,out,,,,,
sportsdirect,1,2021-08-21,s,alabama,birmingham,wsf,15,475,7125,3206,out,,,,,
westgear,2,2021-01-11,mw,missouri,st.louis,wsf,15,475,7125,2494,in,,,,,
sportsdirect,2,2021-11-17,s,mississippi,jackson,maf,20,450,9000,3150,on,,,,,
sportsdirect,1,2021-01-23,s,mississippi,jackson,wsf,15,450,6750,2700,on,,,,,
westgear,2,2021-04-03,mw,wisconsin,milwaukee,msf,20,450,9000,2700,in,,,,,
footlocker,2,2020-03-10,ne,newyork,newyork,msf,44,434,1910,993,out,,,,,
footlocker,2,2021-01-18,mw,michigan,detroit,wsf,20,425,8500,2975,in,,,,,
westgear,2,2021-02-11,mw,missouri,st.louis,wsf,15,425,6375,2231,in,,,,,
westgear,2,2021-06-11,w,utah,saltlakecity,wsf,20,425,8500,2975,in,,,,,
amazon,2,2021-04-10,mw,ohio,columbus,wsf,20,425,8500,3400,on,,,,,
footlocker,2,2021-03-16,s,mississippi,jackson,wsf,15,425,6375,2550,on,,,,,
walmart,2,2021-09-16,s,mississippi,jackson,wsf,20,425,8500,3400,on,,,,,
walmart,1,2021-02-21,s,arkansas,littlerock,wa,20,425,8500,3400,on,,,,,
walmart,1,2021-10-21,s,arkansas,littlerock,maf,20,425,8500,2975,on,,,,,
walmart,2,2020-05-03,ne,newyork,newyork,msf,48,420,2016,1129,out,,,,,
walmart,2,2020-04-19,ne,newyork,newyork,msf,39,408,1591,875,out,,,,,
walmart,2,2020-04-27,ne,newyork,newyork,msf,46,403,1854,1038,out,,,,,
westgear,2,2021-03-10,w,utah,saltlakecity,wsf,20,400,8000,2800,in,,,,,
westgear,2,2021-06-11,w,utah,saltlakecity,waf,20,400,8000,3200,in,,,,,
westgear,2,2021-10-11,w,utah,saltlakecity,maf,20,400,8000,2800,in,,,,,
westgear,2,2021-11-11,w,utah,saltlakecity,maf,20,400,8000,2800,in,,,,,
walmart,2,2021-09-16,s,mississippi,jackson,waf,20,400,8000,3200,on,,,,,
