number,country,points,price,province,region_1,region_2,title,variety,winery
0,Portugal,100,650.0,Port,,,Quinta do Noval 2011 Nacional Vintage  (Port),Port,Quinta do Noval
1,France,100,617.0,Champagne,Champagne,,Salon 2006 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Salon
2,US,100,80.0,Washington,Columbia Valley (WA),Columbia Valley,Charles Smith 2006 Royal City Syrah (Columbia Valley (WA)),Syrah,Charles Smith
3,Italy,100,550.0,Tuscany,Brunello di Montalcino,,Biondi Santi 2010 Riserva  (Brunello di Montalcino),Sangiovese,Biondi Santi
4,US,100,80.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cayuse 2008 Bionic Frog Syrah (Walla Walla Valley (WA)),Syrah,Cayuse
5,US,100,450.0,California,Sonoma County,Sonoma,Verité 2007 La Muse Red (Sonoma County),Bordeaux-style Red Blend,Verité
6,Portugal,100,450.0,Douro,,,Casa Ferreirinha 2008 Barca-Velha Red (Douro),Portuguese Red,Casa Ferreirinha
7,France,100,359.0,Bordeaux,Saint-Julien,,Château Léoville Las Cases 2010  Saint-Julien,Bordeaux-style Red Blend,Château Léoville Las Cases
8,France,100,1500.0,Bordeaux,Saint-Émilion,,Château Cheval Blanc 2010  Saint-Émilion,Bordeaux-style Red Blend,Château Cheval Blanc
9,Italy,100,270.0,Tuscany,Brunello di Montalcino,,Casanova di Neri 2007 Cerretalto  (Brunello di Montalcino),Sangiovese Grosso,Casanova di Neri
10,France,100,1500.0,Bordeaux,Pauillac,,Château Lafite Rothschild 2010  Pauillac,Bordeaux-style Red Blend,Château Lafite Rothschild
11,France,100,150.0,Bordeaux,Saint-Julien,,Château Léoville Barton 2010  Saint-Julien,Bordeaux-style Red Blend,Château Léoville Barton
12,Australia,100,350.0,Victoria,Rutherglen,,Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Muscat,Chambers Rosewood Vineyards
13,US,100,200.0,California,Napa Valley,Napa,Cardinale 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Cardinale
14,France,100,259.0,Champagne,Champagne,,Krug 2002 Brut  (Champagne),Champagne Blend,Krug
15,France,100,250.0,Champagne,Champagne,,Louis Roederer 2008 Cristal Vintage Brut  (Champagne),Champagne Blend,Louis Roederer
16,Italy,100,210.0,Tuscany,Vin Santo di Montepulciano,,Avignonesi 1995 Occhio di Pernice  (Vin Santo di Montepulciano),Prugnolo Gentile,Avignonesi
17,France,100,848.0,Bordeaux,Pessac-Léognan,,Château Haut-Brion 2014  Pessac-Léognan,Bordeaux-style White Blend,Château Haut-Brion
18,Italy,100,460.0,Tuscany,Toscana,,Tenuta dell'Ornellaia 2007 Masseto Merlot (Toscana),Merlot,Tenuta dell'Ornellaia
19,France,99,,Bordeaux,Pauillac,,Château Latour 2010  Pauillac,Bordeaux-style Red Blend,Château Latour
