number,country,points,price,province,region_1,region_2,title,variety,winery,taste,array
0,ETC,100,650.0,Port,,,Quinta+do+Noval++Nacional+Vintage++,Port,Quinta do Noval,white-tropical-and-balanced,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
1,France,100,617.0,Champagne,Champagne,,Salon++Le+Mesnil+Blanc+de+Blancs+Brut+Chardonnay+,Chardonnay,Salon,,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
2,US,100,80.0,Washington,Columbia Valley (WA),Columbia Valley,Charles+Smith++Royal+City+Syrah+,Syrah,Charles Smith,white-dry-and-nutty,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]"
3,Italy,100,550.0,Tuscany,Brunello di Montalcino,,Biondi+Santi++Riserva++,Sangiovese,Biondi Santi,red-bold-and-structured,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
4,US,100,80.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cayuse++Bionic+Frog+Syrah+,Syrah,Cayuse,white-aromatic-and-floral,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
5,US,100,450.0,California,Sonoma County,Sonoma,Verité++La+Muse+Red+,Bordeaux-style Red Blend,Verité,,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
6,ETC,100,450.0,Douro,,,Casa+Ferreirinha++Barca-Velha+Red+,Portuguese Red,Casa Ferreirinha,white-tropical-and-balanced,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
7,France,100,359.0,Bordeaux,Saint-Julien,,Château+Léoville+Las+Cases+++Saint-Julie,Bordeaux-style Red Blend,Château Léoville Las Cases,red-light-and-perfumed,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
8,France,100,1500.0,Bordeaux,Saint-Émilion,,Château+Cheval+Blanc+++Saint-Émilio,Bordeaux-style Red Blend,Château Cheval Blanc,white-dry-and-nutty,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]"
9,Italy,100,270.0,Tuscany,Brunello di Montalcino,,Casanova+di+Neri++Cerretalto++,Sangiovese Grosso,Casanova di Neri,red-rich-and-intense,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
10,France,100,1500.0,Bordeaux,Pauillac,,Château+Lafite+Rothschild+++Pauilla,Bordeaux-style Red Blend,Château Lafite Rothschild,white-tropical-and-balanced,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
11,France,100,150.0,Bordeaux,Saint-Julien,,Château+Léoville+Barton+++Saint-Julie,Bordeaux-style Red Blend,Château Léoville Barton,red-light-and-perfumed,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
12,Australia,100,350.0,Victoria,Rutherglen,,Chambers+Rosewood+Vineyards+NV+Rare+Muscat,Muscat,Chambers Rosewood Vineyards,red-rich-and-intense,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
13,US,100,200.0,California,Napa Valley,Napa,Cardinale++Cabernet+Sauvignon+,Cabernet Sauvignon,Cardinale,red-light-and-perfumed,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
