number,country,points,price,province,region_1,region_2,title,variety,winery,LightBold,SmoothTannin,DrySweet,SoftAcidic
0,Portugal,100,650.0,Port,,,Quinta+do+Noval++Nacional+Vintage++Port,Port,Quinta do Noval,50,50,50,50
1,France,100,617.0,Champagne,Champagne,,Salon++Le+Mesnil+Blanc+de+Blancs+Brut+Chardonnay+Champagne,Chardonnay,Salon,50,50,50,50
2,US,100,80.0,Washington,Columbia Valley (WA),Columbia Valley,Charles+Smith++Royal+City+Syrah+Columbia+Valley+WA,Syrah,Charles Smith,50,50,50,50
3,Italy,100,550.0,Tuscany,Brunello di Montalcino,,Biondi+Santi++Riserva++Brunello+di+Montalcino,Sangiovese,Biondi Santi,50,50,50,50
4,US,100,80.0,Washington,Walla Walla Valley (WA),Columbia Valley,Cayuse++Bionic+Frog+Syrah+Walla+Walla+Valley+WA,Syrah,Cayuse,50,50,50,50
5,US,100,450.0,California,Sonoma County,Sonoma,Verité++La+Muse+Red+Sonoma+County,Bordeaux-style Red Blend,Verité,50,50,50,50
6,Portugal,100,450.0,Douro,,,Casa+Ferreirinha++Barca-Velha+Red+Douro,Portuguese Red,Casa Ferreirinha,50,50,50,50
7,France,100,359.0,Bordeaux,Saint-Julien,,Château+Léoville+Las+Cases+++Saint-Julien,Bordeaux-style Red Blend,Château Léoville Las Cases,50,50,50,50
8,France,100,1500.0,Bordeaux,Saint-Émilion,,Château+Cheval+Blanc+++Saint-Émilion,Bordeaux-style Red Blend,Château Cheval Blanc,50,50,50,50
9,Italy,100,270.0,Tuscany,Brunello di Montalcino,,Casanova+di+Neri++Cerretalto++Brunello+di+Montalcino,Sangiovese Grosso,Casanova di Neri,50,50,50,50
10,France,100,1500.0,Bordeaux,Pauillac,,Château+Lafite+Rothschild+++Pauillac,Bordeaux-style Red Blend,Château Lafite Rothschild,50,50,50,50
11,France,100,150.0,Bordeaux,Saint-Julien,,Château+Léoville+Barton+++Saint-Julien,Bordeaux-style Red Blend,Château Léoville Barton,50,50,50,50
12,Australia,100,350.0,Victoria,Rutherglen,,Chambers+Rosewood+Vineyards+NV+Rare+Muscat+Rutherglen,Muscat,Chambers Rosewood Vineyards,50,50,50,50
13,US,100,200.0,California,Napa Valley,Napa,Cardinale++Cabernet+Sauvignon+Napa+Valley,Cabernet Sauvignon,Cardinale,50,50,50,50
14,France,100,259.0,Champagne,Champagne,,Krug++Brut++Champagne,Champagne Blend,Krug,50,50,50,50
15,France,100,250.0,Champagne,Champagne,,Louis+Roederer++Cristal+Vintage+Brut++Champagne,Champagne Blend,Louis Roederer,50,50,50,50
16,Italy,100,210.0,Tuscany,Vin Santo di Montepulciano,,Avignonesi++Occhio+di+Pernice++Vin+Santo+di+Montepulciano,Prugnolo Gentile,Avignonesi,50,50,50,50
17,France,100,848.0,Bordeaux,Pessac-Léognan,,Château+Haut-Brion+++Pessac-Léognan,Bordeaux-style White Blend,Château Haut-Brion,50,50,50,50
18,Italy,100,460.0,Tuscany,Toscana,,Tenuta+dell'Ornellaia++Masseto+Merlot+Toscana,Merlot,Tenuta dell'Ornellaia,50,50,50,50
19,France,99,,Bordeaux,Pauillac,,Château+Latour+++Pauillac,Bordeaux-style Red Blend,Château Latour,50,50,50,50
20,Australia,99,300.0,Victoria,Rutherglen,,Chambers+Rosewood+Vineyards+NV+Rare+Muscadelle+Rutherglen,Muscadelle,Chambers Rosewood Vineyards,50,50,50,50
21,US,99,125.0,California,Oakville,Napa,Venge++Family+Reserve+Cabernet+Sauvignon+Oakville,Cabernet Sauvignon,Venge,50,50,50,50
22,US,99,125.0,Washington,Columbia Valley (WA),Columbia Valley,Quilceda+Creek++Cabernet+Sauvignon+Columbia+Valley+WA,Cabernet Sauvignon,Quilceda Creek,50,50,50,50
23,US,99,94.0,California,Sonoma Coast,Sonoma,Williams+Selyem++Precious+Mountain+Vineyard+Pinot+Noir+Sonoma+Coast,Pinot Noir,Williams Selyem,50,50,50,50
24,Italy,99,440.0,Piedmont,Langhe,,Gaja++Sorì+San+Lorenzo+Nebbiolo+Langhe,Nebbiolo,Gaja,50,50,50,50
25,Italy,99,440.0,Piedmont,Langhe,,Gaja++Sorì+Tildìn+Nebbiolo+Langhe,Nebbiolo,Gaja,50,50,50,50
26,Italy,99,250.0,Tuscany,Toscana,,Tenuta+dell'Ornellaia++Masseto+Merlot+Toscana,Merlot,Tenuta dell'Ornellaia,50,50,50,50
27,France,99,,Bordeaux,Saint-Émilion,,Château+Ausone+++Saint-Émilion,Bordeaux-style Red Blend,Château Ausone,50,50,50,50
28,France,99,,Bordeaux,Pauillac,,Château+Pontet-Canet++Barrel+sample++Pauillac,Bordeaux-style Red Blend,Château Pontet-Canet,50,50,50,50
29,US,99,300.0,California,Napa Valley,Napa,Alpha+Omega++ERA+Red+Napa+Valley,Bordeaux-style Red Blend,Alpha Omega,50,50,50,50
30,US,99,250.0,California,Atlas Peak,Napa,Alpha+Omega++Stagecoach+Vineyard+Cabernet+Sauvignon+Atlas+Peak,Cabernet Sauvignon,Alpha Omega,50,50,50,50
31,US,99,75.0,Oregon,Walla Walla Valley (OR),Oregon Other,Cayuse++En+Chamberlin+Vineyard+Syrah+Walla+Walla+Valley+OR,Syrah,Cayuse,50,50,50,50
