이름,플랫폼,작가,그림,장르,상태,요일,조회수,좋아요,총화수,무료,무료주기,줄거리,키워드,첫화링크
흑막 약혼자가 내 꽃길을 방해한다,kakaowebtoon,4랑니,혀나,로맨스 판타지,연재,목,84.8만,3.4만,30,3,1일마다 무료,"신탁을 잘못 해석해 탄생한 가짜 성녀제국을 속인 사기꾼가문에서도 버림받고, 진짜 성녀를 시기해 온갖 악행을 저지르다 죽는 악녀그게 원작에서의 내 역할이었다책 속에 환생했다는 것을 알게 된 후, 나는 결심했다이 나라에서는 도저히 더럽고 치사해서 못 살겠다답은 망명뿐이야망명을 위해서는 범죄 혐의가 있어서는 안 되었기에, 나는 꽃길을 목표로 그저 착하게 살았다아무도 죽이지 않고, 아무도 시기하지 않고그런데, 뭔가 이상하다원작에서 나를 조롱해서, 내 손에 죽던 엑스트라들의 사고 소식이 매일같이 들려 온다이번엔 내가 안 그랬는데?","설레는,궁금하게하는,로맨스판타지,환생물",https://webtoon.kakao.com/content/%ED%9D%91%EB%A7%89-%EC%95%BD%ED%98%BC%EC%9E%90%EA%B0%80-%EB%82%B4-%EA%BD%83%EA%B8%B8%EC%9D%84-%EB%B0%A9%ED%95%B4%ED%95%9C%EB%8B%A4/3957
황녀님이 사악하셔,kakaowebtoon,"포알카, 별다섯(ARC)","슈슈, 화솜",로맨스 판타지,연재,금,271.2만,15.5만,122,3,3일마다 무료,"나는 삼백 살이 넘는 마녀이지만, 믿었던 인간에게 배신당해 죽었다꼼짝없이 영혼계에 붙잡혀 있을 줄 알았는데 서로가 서로를 죽이는 황실에 황녀로 환생했다이렇게 된 이상 내가 황제가 돼야겠다 “너 내 부하가 대라”이렇게 했으니까 모두 나를 두려워하겠지, 생각했는데“한 번만 만져주면 안 돼? 네가 머리를 쓰다듬어줬다고 하면 모두가 부러워할 거야”…뭐야 왜 이래 “더 해 줘 귀여우니까”하지만 단체로 미쳤나, 싶을 정도로 내게 맹목적인 애정을 보이고 있다…나 황제 될 수 있겠지?","귀여운,발랄한,로맨스판타지,육아물",https://webtoon.kakao.com/content/%ED%99%A9%EB%85%80%EB%8B%98%EC%9D%B4-%EC%82%AC%EC%95%85%ED%95%98%EC%85%94/3007
공포게임 남주와 감금당했다,kakaowebtoon,억만장녀,피나타,로맨스 판타지,연재,금,36.7만,1.9만,27,3,3시간마다 무료,"공포게임 속 메이드가 되었다대저택에 갇혀 탈출하려는 남주에게 페널티를 주거나, 안내자 역할을 해주는남주의 플레이가 끝날 때까지 대충 의무만 이행하려 했는데“내가 나가기만 하면, 당신도 똑같이 가둬둘 겁니다”남주가 너무 시끄럽다이렇게 된 거 빨리 그가 탈출하도록 돕기로 했다“밥 먹자, 디트리히”“포션이야 이거 바르면 바로 나을 거야”“이번 탈출 힌트가 저기에……”다음 플레이를 위해 든든히 먹였고,남주가 다치면 빨리 다음 플레이를 하도록 포션을 주었고,대놓고 문제의 힌트도 주었다자, 이제 나갈 수 있겠지?그런데“글쎄 답을 잘 모르겠군요”머리도 잘 돌아가는 녀석이 이게 무슨 말이야?……남주가 도무지 저택에서 나갈 생각을 안 한다“네가 안 나가면 내가 나갈게”저 꼴 보기 싫은 놈을 계속 봐야 한다는 생각에 짜증이 나 홧김에 외쳤는데“당신 여기서 나갈 수 있는 것이었습니까?”그의 눈이 싸악 가라앉았다“말해두겠는데, 저는 여기서 나갈 생각이 없습니다”“뭐?”“그리고 당신도 못 나갑니다”대체 이게 어떻게 된 일이지?","미스테리한,궁금하게하는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EA%B3%B5%ED%8F%AC%EA%B2%8C%EC%9E%84-%EB%82%A8%EC%A3%BC%EC%99%80-%EA%B0%90%EA%B8%88%EB%8B%B9%ED%96%88%EB%8B%A4/3996
이차원 용병,kakaowebtoon,발로,발로,학원/판타지,연재,금,598.5만,17.4만,90,0,3시간마다 무료,"취직하고 싶습니까?영혼을 팔아서라도 취직하고 싶으십니까?그렇다면 잘 오셨습니다취업 정보 사이트 영팔이는 영혼을 팔아서라도일자리를 구하고 싶은 이, 바로 당신을 위한 곳입니다 천사인가, 악마인가서른 살 백수 강철호는 정체 모를 그들과 계약을 했다영혼을 팔아서라도 돈, 그놈의 돈을 벌기 위해 다른 차원의 계약자들에게 빙의하여,그들이 가장 절망하던 순간의 삶을 바꾸는 것그것이 강철호에게 주어진 사명, 미션(Mission)이다","궁금하게하는,몰입되는,학원/판타지,차원이동물",https://webtoon.kakao.com/content/%EC%9D%B4%EC%B0%A8%EC%9B%90-%EC%9A%A9%EB%B3%91/2317
부모님을 죽인 원수와 결혼했습니다,kakaowebtoon,어기죽,어기죽,로맨스 판타지,시즌완결,금,643.6만,6만,41,42,연재 무료,"항상 변치 않는 나의 영지에서 진실로 사랑하는 사람과 영원히 함께 할 수 있길 바란 내 소원이 이루어진 생애 최고의 날그날이 내 생애 가장 비극적인 날이 되리라곤 상상조차 하지 못했다""왜 날 살려두었나요""""내가 그대를 사랑하기 때문입니다 루니에""사랑?내 부모님을 죽이고 가문의 영지를 빼앗은, 내 연인의 목숨을 쥐고 내 순정을 짓밟은 그가 사랑을 입에 담는다절대 용서할 수 없어반드시 이자가 저지른 악행을 알리고 죗값을 받게 하겠어","에로틱한,설레는,로맨스판타지,몸정>맘정",https://webtoon.kakao.com/content/%EB%B6%80%EB%AA%A8%EB%8B%98%EC%9D%84-%EC%A3%BD%EC%9D%B8-%EC%9B%90%EC%88%98%EC%99%80-%EA%B2%B0%ED%98%BC%ED%96%88%EC%8A%B5%EB%8B%88%EB%8B%A4/3576
백작 영애의 애인을 꼬셔라,kakaowebtoon,DIAN,MQ,로맨스 판타지,연재,금,45만,1.9만,71,3,3시간마다 무료,"18살 마탑에 갇혀 황제에게 이용만 당하다가 회귀한 리델 크로스이번 생에는 절대 마법과 관련 없는 평범한 삶을 살 것이라 다짐하며, 백작가의 메이드가 되는 것까지는 좋았는데백작은 리델에게 밀레나 아가씨의 애인으로 소문난 그레이엄을 꼬셔 떼어내라는 명령을 내린다하지만 떼어내라는 놈이 회귀 전 황제와 너무 똑같이 생겨서 적응 안 되는 그레이엄? 얼굴만 봐도 벌벌 떨리는데 저 사람을 꼬시라니요","궁금하게하는,설레는,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EB%B0%B1%EC%9E%91-%EC%98%81%EC%95%A0%EC%9D%98-%EC%95%A0%EC%9D%B8%EC%9D%84-%EA%BC%AC%EC%85%94%EB%9D%BC/3358
공녀고 나발이고 집에 간다고,kakaowebtoon,물길,휴즈독,로맨스 판타지,연재,수,38.1만,1.8만,23,3,3시간마다 무료,"로또에 당첨된 걸 확인하고 회사를 때려치우려고 했는데판타지 세상 속 공녀의 몸으로 들어와 버렸다당첨금 수령 기간은 1년무슨 수를 써서라도 그 전까진 집에 돌아가야 한다17억아, 엄마 금방 갈게 기다려아니, 그런데 이 가족들이 왜 이래?“널 사랑한단다”저 아저씨 딸 아닌데요“내 동생, 우리 막내 다칠 수 있으니까 내가 들어 줄게”그게 나를 들어 올린다는 뜻이었어? 뭐야, 이 거대 불곰은“한 번만 더 내 동생에게 까불었다간, 쥐도 새도 모르게 없애 주지”넌 얼굴도 예쁜 애가 무슨 말을 그렇게 험악하게 하니“너는 좀 아프지 마라”나한테 신경 꺼 뭔 오빠들이 이렇게 많아저 공녀 아니라고요 나 좀 내버려 둬 집에 가게","설레는,감동적인,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EA%B3%B5%EB%85%80%EA%B3%A0-%EB%82%98%EB%B0%9C%EC%9D%B4%EA%B3%A0-%EC%A7%91%EC%97%90-%EA%B0%84%EB%8B%A4%EA%B3%A0/4025
나는 될 놈이다,kakaowebtoon,서윤교,서윤교,학원/판타지,연재,수,586.2만,10.4만,206,3,3시간마다 무료,"모든 걸 완벽하게 소화하며 잘하기에 주인공은 어디서든 될 수 밖에 없는 인재, 그렇기 때문에 게임 안에서 아무도 하지 않는 기행을 하며 정점을 노린다 될 놈은 되게 되어있다 엄청난 행운으로 불가능한 퀘스트도 주인공의 행운에는 속수무책 행운으로 게임을 정복한다","개성있는,통쾌한,학원/판타지,레벨업물",https://webtoon.kakao.com/content/%EB%82%98%EB%8A%94-%EB%90%A0%EB%86%88%EC%9D%B4%EB%8B%A4/2339
마왕의 아이로 살아남는 법,kakaowebtoon,이은탁,kwvh,로맨스 판타지,연재,월,149.9만,7.3만,53,3,3시간마다 무료,"천 번에 가까운 회귀를 거듭하며 세계 멸망을 막아 보고자 아무리 용을 써도,나는 결코 결말을 바꿀 수 없었다이제는 지친다 회귀도 지긋지긋하다이번에는 몇 살로 회귀할까회귀 따위, 다시는 하고 싶지 않은데“으다앙”잠깐뭐야, 이 목소리는뭐야, 이 단풍잎처럼 작은 손은“누가 이런 갓난아기를 갖다 버린 거야?”이번 생은 갓난아기로 회귀해 버렸다그것도 세계를 수천 번 멸망시키고 있는 장본인인, 루카스의 저택 앞에서갓난아기라니 팔도, 목도 제대로 못 가누는 갓난아기라니아니지, 잠시 진정하고 생각해 보자이번 생이야말로 루카스 곁을 밀착 감시하면서 세계 멸망을 막을 수 있는 엄청난 기회일지도 모른다날 경계하고 긴장해라, 루카스이번엔 네놈이 이 세계를 멸망시키지 못하도록 할 테니까나는 소리를 높여 악랄하게 깔깔 웃었다아하하하하 아하하하하“까르르르”“어머나 우리 아기님은 웃음소리도 귀여우시네”젠장","몰입되는,웃기는,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EB%A7%88%EC%99%95%EC%9D%98-%EC%95%84%EC%9D%B4%EB%A1%9C-%EC%82%B4%EC%95%84%EB%82%A8%EB%8A%94-%EB%B2%95/3236
묵향 다크레이디,kakaowebtoon,이재헌,구깃,학원/판타지,연재,월,"2,657.3만",91.4만,120,0,3시간마다 무료,"마교의 교주로서 극강의 무공을 자랑하던 묵향은 적들(혈교)에 의해 생전 처음 보는 생소한 이세계(판타지 세계)로 떨어지게 된다그곳에서 엘프, 마법사, 기사, 드래곤 등 새로운 존재들과 만나며 무림 최고수 묵향이 원래 자신의 세상(무림)으로 돌아가기 위해 긴 모험을 떠나게 된다","통쾌한,몰입되는,학원/판타지,로드무비",https://webtoon.kakao.com/content/%EB%AC%B5%ED%96%A5-%EB%8B%A4%ED%81%AC%EB%A0%88%EC%9D%B4%EB%94%94/2341
